variable,importance
region_14,0.18904688498871622
educm,0.17933031921306103
sexo,0.16477171441947056
educp,0.13531656400489234
p21,0.1125596366403013
clasep,0.08828706887404338
cohorte,0.05648010184904394
p111,0.04882621500142683
p112,0.025381495009044377
