Model,IOp_Gini,IOp_R2,N_Types
Decision Tree,0.553797860846633,0.2832991611593709,58
Random Forest,0.5263192405537411,0.25916259335360914,-
Gradient Boosting,0.5680939877002343,0.31203652151964223,-
RF (CV mean),0.5150296895955601,0.2579509626728769,-
