variable,importance
educm,0.24456575440101724
region_14,0.20483431485503634
sexo,0.19449916264386
educp,0.1124198343324656
p21,0.0789297935732094
clasep,0.06793957980743043
p111,0.04621725609181196
cohorte,0.045716529504332866
p112,0.004877774790836097
